model,layer,name,name_id,shape[0],shape[1]
Mistral-7B-v0.1,19,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,19,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,19,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,19,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,20,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,20,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,20,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,20,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,20,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,20,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,20,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,21,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,21,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,21,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,21,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,21,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,21,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,21,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,22,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,22,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,22,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,22,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,22,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,22,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,22,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,23,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,23,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,23,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,23,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,23,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,23,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,23,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,24,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,24,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,24,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,24,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,24,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,24,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,24,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,25,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,25,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,25,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,25,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,25,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,25,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,25,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,26,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,26,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,26,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,26,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,26,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,26,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,26,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,27,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,27,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,27,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,27,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,27,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,27,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,27,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,28,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,28,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,28,self_attn.v_proj,3,1024,4096
Mistral-7B-v0.1,28,self_attn.o_proj,4,4096,4096
Mistral-7B-v0.1,28,mlp.gate_proj,5,14336,4096
Mistral-7B-v0.1,28,mlp.up_proj,6,14336,4096
Mistral-7B-v0.1,28,mlp.down_proj,7,4096,14336
Mistral-7B-v0.1,29,self_attn.q_proj,1,4096,4096
Mistral-7B-v0.1,29,self_attn.k_proj,2,1024,4096
Mistral-7B-v0.1,29,self_attn.v_proj,3,1024,4096
